address,balance
bc1pquqveu54appwd9gfmglf69wfakumhy4f8eh3rekqptfd4nw9e9gq5yqgtu,0.00137784
bc1q4deqm9ew6u7tc3yf8h5gwwx9zv4gcu5x32ljst,0.0032623
bc1qs2ny0fwsw46sc6x2awrkr0sa5w306y6wmjqkvm,0.012674
bc1q0699em4uuh549nsfyuna6mkscul8ek8kr8td8w,0.00015
1GbiHbUZtyg4vPxVRRiuX2ZyWBMsHHzEFa,0.0290917
bc1qwmshf677u826dr9ecuylpnvgg209w5rlwwmw9z,0.00046119
1LifL4sLakWRb6JjZtxKmGXnu7je66KwEA,0.113126
bc1que42l3ms6l6wg8yx37up5we4y5ss6gxt8gxgvs,0.00166155
bc1pjg3s7dswycksvrvlh5sljsyy23arqqfezckm64t779hysh3euawqxz2n94,0.00061638
bc1q3guwu33dffe4yhzf5e9e5d4gfnmm8we92vkaak,0.0367
bc1qxuu607nz42y29mq4c6utxrxw7tmr4q0mzvxe00,0.00085315
bc1plvq8l0l020ygj2ft3nk94v7lh0asjd5ldvhxqs8edw3h09pgjfwswjynsv,0.00022328
bc1qa4kdmamq0nxz0m22dv9tjcysg9lnv72u2uhe8c,0.00448756
3E9WNNnC4LsFNicPeFtqoNLGKuhvUhaB6C,0.00074538
18AkkAwU7fF8NjHFpJuT2q9F88guf3Yapm,0.0873495
bc1qz0ah0n33pc094372gawq5gxxc52655d7xuyv9c,0.00130596
bc1qjnzpvywxjyg99dzk69gt29xfve72s623jeqjwh,0.0296398
bc1q60a86kv2zvcc7fzhw7cg66qhlr9arngvsf8mhm,1.30218
bc1q9qvh6myrd9ttg5ywngwplum7g7sfend35mxc9e,0.00029133
bc1p585tyr476vf8y6755qrxrzpt55gfdm59jzz3rkw2g0fmth0m3kps26ghzz,0.012389
bc1qzkekzuds38q6a6t22dqg08v565mdmqsfgtk5rg,0.00029829
1DEfp24THJcmBaFGSNejcWa9neWvoqjCTk,0.0904675
bc1qwlne3kknmpycscwxl4l62wgsmngk96rrs5txxx,0.00511124
bc1quye03a79nqxecyxu37gv7et8xjrl64x68apx8f,0.132286
bc1qxfj8w5m8syvwzt60e8yf8nzcl8ydajny6szn28,0.0015554
bc1qnlupg802dwafvfl8h7t3285trtdaet7s84r9xn,0.00250746
bc1q354gfvqm0ynjrpn6m344hee3xsja3r8tp20h00,0.0135643
3FjRvJBpE2nQ41hEYwMCRmFTP4eCXbr6at,0.0141452
bc1q8wsxqq0wfhl4jwhdvjsy9j2nt58m7drssjqf5t,0.00084057
bc1q6tq5zvse7u5vs5wgm56gvvzq6utdhcrsd9zdqc,0.00060929
bc1qcvwedu3m3nawnsnhrg8gnr4qp262s9szpdaw4vyv27n86yqch49qjl50ed,0.0194022
bc1pj24p2hxa0g885lhg2pa2wx7wxkdjjgqrkk3d6akaw2dcwxaas6eqqm5g4y,0.009
bc1paenlqegffzt33v2tvwe5hecqhqj8xpxn6a3vg2fuphj46zpmjjdsrmscwt,0.00066
bc1p40cqysfknc9f3vgvv3shpnwx9d2qc4wzrxj902aypdd5z0rd9e6qfxudl0,0.00117596
bc1q2997va7s2yvgx7r0ygs4akzr5nxyd3ruffhhwn,0.0841538
bc1qd4kcvaaul6xfqu9dukaamkqje0puac974ghganjth0nv7xn7ll3ql0sapx,0.0197682
bc1q5w4uwp7uxszlc8kkgdn9c9w50pqu0wy3cqxkny,0.00190002
3Kx4sFY6FeQ8wgNHEavy7ofTgL7PHX3R3a,0.00210465
bc1qazsq90as39u29q5fny8s6ez2wm4mjpnr9q0hw5,0.00147001
39UapMKkEQbnDHjKnpp9G3VLUCi95Yj8ET,0.0461451
bc1qt0k2xcgsveq0fzfu90n5p2g3mnzeeg00jvpgqd,0.00112069
1GSYT42SBj5cxws3Gcn2NrnMcsRJUD8cup,0.0378894
bc1qk2fktgfkcf7q74cdnndswt7nlzj9uq9wvqsk2j,1.11775
16k3oeJufxUMQGmsRqBDVLL8HijGvMUrtC,0.0882143
3CyirnPak58nN9EoPaHRofQpD53vhSTesw,0.00041396
15XP8kfr2Zdc71Upo8hDmtURqp7X4wH6Tt,0.673141
bc1q9hxnkmnzvkx9t4wk2ahr8gu6aw5dza3ver3ctn,0.0433698
bc1qdf794yrnggah5y04l94mgp82h6jjujr2qrlqzc,0.1
bc1qfpg4nh03vnr9fhgnrfrudp53w0wj9xjdvvcc00,0.0290258
bc1qjf5anznter0mv0t42ha4mzjuk53gmf732c0d8r,0.222566
bc1qu3n0fca32fq4rcuvgelqzdddky0zcr79eq55lq,0.0001681
bc1q8gkpgvhugwv6vfr0qx63wkxpsq4lmmrccvhfsl,0.00037424
3EcPX7XRWTiFUWHnNZHt7jNCD9H5GHoeVw,0.117421
3BubAQLsWfMoPjzFyph8rVQYf3Puj38C14,119.105
bc1qv87p2y39lg57r5s0gsd2vh6es9f8n89279z3gx,0.00057123
bc1quv4g0c654g0qt42vwmfm0v2lyssw76mglxrzp8,0.00243298
bc1qhzlrtxru3qk5ecfe57j5plwdvls6da3zqaxdjk,0.00990589
bc1pxjj8ultef3ptyeh55jq9v5ng7yjaaz287va4rdlt7a8ejfndv4cqz5l2c9,0.00045069
bc1pwzv243hvgsfzxzpwkyq5x4ghkvsm8t3ap2jg6j4y20y5fy4tn73s43rn9d,0.00093704
bc1qkj8x8mtppqaecap4zhjnm8hut2fdtakf8l636g,0.000168
1Gfq6xCWsfG4qCuQLoKMt84sW6f4ZmKNuq,0.0203203
18eKf8XVYDbzsr8rupsTj6C3xadJksab1v,0.158496
bc1qxady5ljv75rld6g45pl62m7nq3zxpnrrgg8drm,0.00154591
bc1q79s3l78wlpr7dws95c0evwlh80v7skjhgkjtn5,0.00125725
bc1qdp8mvc543wgj4m820dd0x386sh949cw6egsuzp,0.001198
bc1qajnujegd8da0y8e02tu0e0e94zfnwv2sqpk7v4,0.00155128
1AbnzxspnAdrrS7E2FrsPQv2oqX6sg1Jxm,0.0483547
bc1q9lg3gxgh6y9384g6qfrrgaun2aknh8saqdd67j,0.00267806
15rRndKgJWmnGRmEdi274NaBTBm4dAn7fC,0.414868
bc1qfmxha804nhvt94wauk0239fumfmmqv7x9h79mu,0.0592773
bc1qsu4yftyryl4edaqmksvgleuh8u85mnzgrnsc4t,0.00013568
bc1qepztzvryggv3s73dlkah0vu9aegn9dhfj6ntfp4z35k60qh0thqq02t6nr,0.000175
bc1q5kjrl579k5lr0addl03w6zyw6jp0emqt8gda4j,0.00115496
3FhfRToRL5hahsGwXJHJohQ2PwqUZBcGbv,0.0005644
33fcCipZcxZj1pmk4T5UUREMNQFaGjSXPE,0.103379
33vMVZjSnSt2XtZbDL9Q1jZEv6TEqV2d4p,0.00276591
1G795dRq33c1qbaWpSuvQzmfED4p4jTCA8,0.451265
bc1qdggyxywaycc5lfldc2psqeyf8rtl02zztg75sf,2.04366
13qnzmqc8ePugqrPpHxjw8xregfHPCeVg7,0.0516543
bc1qjr0k83nsfg3jhps05ezjhtj3mg5az3c7sjgph6,0.0008383
bc1q6x4dns7fyjfwm8nruqy5c7cazszsrw4rlcvjrt,0.00103221
